Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ SAS,"W, 108-98",33,3,9,33.3,1,4,25.0,0,0,0.0,0,1,1,5,1,4,0,3,7
"Mon, Jan 29",@ DAL,"L, 129-131",26,4,8,50.0,3,6,50.0,0,0,0.0,0,2,2,1,2,3,0,4,11
"Sun, Jan 28",vs. PHO,"W, 98-113",32,4,11,36.4,2,8,25.0,0,0,0.0,1,3,4,5,2,2,1,4,10
"Fri, Jan 26",@ MEM,"L, 106-107",4,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Mon, Jan 22",vs. CLE,"L, 126-99",26,2,5,40.0,2,4,50.0,0,0,0.0,0,2,2,3,3,2,0,2,6
"Sun, Jan 21",vs. MIA,"W, 87-105",29,4,11,36.4,1,6,16.7,2,2,100.0,4,0,4,1,2,1,0,4,11
"Fri, Jan 19",vs. PHI,"L, 124-109",25,5,13,38.5,2,5,40.0,4,4,100.0,0,2,2,2,1,1,1,1,16
"Wed, Jan 17",@ ATL,"L, 104-106",28,6,7,85.7,3,3,100.0,1,2,50.0,2,2,4,1,2,0,0,3,16
"Mon, Jan 15",@ NYK,"W, 98-94",27,1,8,12.5,1,6,16.7,1,2,50.0,0,5,5,4,2,0,0,3,4
"Sat, Jan 13",@ OKC,"L, 100-112",20,4,8,50.0,1,3,33.3,0,0,0.0,1,3,4,0,1,0,0,3,9
"Fri, Jan 12",@ MIA,"L, 96-99",14,1,5,20.0,0,4,0.0,0,0,0.0,0,0,0,0,0,0,3,3,2
