Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ SAS,"W, 108-98",17,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,1,0,0,0,2,2
"Mon, Jan 29",@ DAL,"L, 129-131",30,7,9,77.8,4,4,100.0,2,2,100.0,0,3,3,1,1,0,1,3,20
"Sun, Jan 28",vs. PHO,"W, 98-113",13,1,2,50.0,0,1,0.0,2,2,100.0,0,1,1,1,0,0,1,1,4
"Fri, Jan 26",@ MEM,"L, 106-107",27,0,3,0.0,0,1,0.0,2,4,50.0,2,1,3,1,1,0,0,5,2
"Mon, Jan 22",vs. CLE,"L, 126-99",18,3,6,50.0,0,1,0.0,1,2,50.0,1,0,1,2,0,1,0,0,7
"Sun, Jan 21",vs. MIA,"W, 87-105",14,2,5,40.0,1,2,50.0,1,2,50.0,0,0,0,1,1,0,0,3,6
"Fri, Jan 19",vs. PHI,"L, 124-109",13,1,2,50.0,1,2,50.0,4,4,100.0,0,3,3,3,0,0,1,2,7
"Wed, Jan 17",@ ATL,"L, 104-106",0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sat, Jan 13",@ OKC,"L, 100-112",33,5,8,62.5,0,1,0.0,3,6,50.0,0,4,4,1,1,1,1,2,13
"Fri, Jan 12",@ MIA,"L, 96-99",9,0,1,0.0,0,0,0.0,1,2,50.0,0,3,3,1,0,1,0,0,1
"Tue, Jan 9",vs. MIN,"L, 113-92",21,1,4,25.0,1,3,33.3,0,0,0.0,0,1,1,4,2,3,1,2,3
